samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,0,2.34191186472719,0,0.485325326804926,0,0.416753585819329,0,0,0.0634175035755245,0,8,1.11978181554345,0.001,0.5,0.5,0,-13192.5109895896,-12766.8885996592,-425.622389930381
501,0,2.09011697004184,0,0.3827274998667,0,0.165761035396321,0,0,0.0153663112167718,0,8,0.838872746211834,0.001,0.5,0.5,0,-3511.00249073142,-2017.2810027653,-1493.72148796612
1001,0,2.17294861981024,0,0.369616379141856,0,0.185047829893872,0,0,0.0131002033280307,0,8,0.831316125442683,0.001,0.5,0.5,0,-3440.48193816914,-2027.93864157371,-1412.54329659543
1501,0,2.11385927351255,0,0.329750641129943,0,0.184121824846915,0,0,0.0145040930148334,0,8,0.803107980300316,0.001,0.5,0.5,0,-3493.75992427897,-1974.79904435085,-1518.96087992812
2001,0,2.05811028566373,0,0.370295641809119,0,0.161071291892517,0,0,0.00491408616353989,0,8,0.803107980300316,0.001,0.5,0.5,0,-3408.69041097011,-2028.92934662128,-1379.76106434884
2501,0,2.0090613263812,0,0.345304959327771,0,0.149892068857379,0,0,0.0139333539015686,0,8,0.787754801541353,0.001,0.5,0.5,0,-3483.68225359251,-2015.45528031786,-1468.22697327466
3001,0,2.02624887628426,0,0.322052401445212,0,0.123202725729538,0,0,0.0170169381448609,0,8,0.787754801541353,0.001,0.5,0.5,0,-3369.5487656901,-2010.07405973215,-1359.47470595796
3501,0,2.05142356005483,0,0.361082861324232,0,0.103455118748591,0,0,0.0184202415612018,0,8,0.817554735841615,0.001,0.5,0.5,0,-3406.30556004643,-2023.51220204826,-1382.79335799817
4001,0,2.08197592549813,0,0.423326249113875,0,0.112254536954344,0,0,0.0158626268220483,0,8,0.818944867959479,0.001,0.5,0.5,0,-3404.69011350916,-2033.4559235783,-1371.23418993086
4501,0,1.97535504543769,0,0.408036169822101,0,0.0783734545165432,0,0,0.0377869225649867,0,8,0.828942423066917,0.001,0.5,0.5,0,-3414.53122514545,-2028.01382204213,-1386.51740310332
5001,0,1.91708538466862,0,0.474491155108641,0,0.040993779316334,0,0,0.031267125100473,0,8,0.800138120801736,0.001,0.5,0.5,0,-3493.91858175272,-2042.79269075125,-1451.12589100147
5501,0,1.93771814295975,0,0.5010559190872,0,0.0259894321029366,0,0,0.0448921971164531,0,8,0.812298066777052,0.001,0.5,0.5,0,-3526.64879745545,-2057.74456042521,-1468.90423703023
6001,0,1.76114795442306,0,0.463452578644304,0,0.0212579124390889,0,0,0.0333687788965895,0,8,0.827424507332699,0.001,0.5,0.5,0,-3501.46468806579,-2058.97434177313,-1442.49034629267
6501,0,1.68366750232844,0,0.508095720992174,0,0.0014788442042893,0,0,0.0214304105523601,0,8,0.830016990424818,0.001,0.5,0.5,0,-3479.84590991599,-2056.98988175859,-1422.8560281574
7001,0,1.69293016080341,0,0.464169852147496,0,0.0123944031730816,0,0,0.0184937028618096,0,8,0.830268266824669,0.001,0.5,0.5,0,-3497.81921439853,-2079.46743567053,-1418.35177872799
7501,0,1.70786560916897,0,0.481243618119847,0,0.0101890873974638,0,0,0.019453559425278,0,8,0.831011055379313,0.001,0.5,0.5,0,-3450.36496095621,-2055.29443029496,-1395.07053066125
8001,0,1.73011158773662,0,0.481906911994775,0,0.0115046636428213,0,0,0.0280534573022382,0,8,0.798864422320716,0.001,0.5,0.5,0,-3360.33090124626,-2053.15804057879,-1307.17286066747
8501,0,1.72359965857693,0,0.45712128407689,0,0.0143102721754021,0,0,0.0282781583437052,0,8,0.795270010002428,0.001,0.5,0.5,0,-3380.45007284458,-2042.00361134553,-1338.44646149905
