samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,antibody_dependent_boosting,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,1.30040605656907,2.82247471671429,0,0.486597052708312,0,0.481400503295312,0,0.182846790117242,0.0473017711445616,0,12,1.91332192869647,0.001,0,0,2.80309193233101,0,0.439166957034433,0,0.44084555352942,0,0,0.0604520335523465,0,8,0.923272780035794,0.001,0.5,0.5,0,-14344.8966992983,-13672.8142966569,-672.082402641457
501,1.37760510140608,3.8853354709106,0,0.215726635877774,0,0.335357944656734,0,0.122341258159602,0.000260466761928306,0,12,1.40847772719883,0.001,0,0,2.48559697582484,0,0.504270265830731,0,0.203580386877228,0,0,0.0181049565262699,0,8,0.895592163964913,0.001,0.5,0.5,0,-7457.02503941507,-6166.21048004776,-1290.81455936731
1001,1.53841199846698,3.73754486860925,0,0.145428415841682,0,0.360879114890205,0,0.0930105672325469,0.0113820265600135,0,12,1.21519468730793,0.001,0,0,2.27594786272318,0,0.753420309725084,0,0.101273180745733,0,0,0.017234631207493,0,8,0.895592163964913,0.001,0.5,0.5,0,-7367.38237871691,-6005.87031370347,-1361.51206501344
1501,1.55621643739124,3.90054346842529,0,0.132439182127675,0,0.360302152564481,0,0.0868519367801965,0.0117702931813479,0,12,1.21519468730793,0.001,0,0,2.13217390680038,0,0.721002097001402,0,0.0469593642203948,0,0,0.0197143295990723,0,8,0.895592163964913,0.001,0.5,0.5,0,-7388.14150799508,-5928.66183128195,-1459.47967671313
2001,1.58797239165247,3.89282105972683,0,0.135167886366817,0,0.334246953256281,0,0.0785359282594811,0.0169176471160889,0,12,1.18516733730557,0.001,0,0,2.07191388238177,0,0.785542642486485,0,0.0367485459297192,0,0,0.0192087926169458,0,8,0.895592163964913,0.001,0.5,0.5,0,-7414.36813753773,-5936.60036470232,-1477.76777283541
2501,1.75333353634634,3.53998038771932,0,0.154458593306844,0,0.30989668049776,0,0.0755074271150337,0.0221736446778532,0,12,1.11760001948171,0.001,0,0,2.08112549911605,0,0.878304039582853,0,0.00136068692350528,0,0,0.0305201967682579,0,8,0.911660791051788,0.001,0.5,0.5,0,-7346.20117169723,-5889.12738028099,-1457.07379141624
3001,1.93157413851666,3.41577426765154,0,0.19235642003895,0,0.320075940103044,0,0.0742232147429148,0.0218844720499775,0,12,1.11604610214665,0.001,0,0,1.92973872992176,0,0.801040161819283,0,0.00618661021156519,0,0,0.0197594351555863,0,8,0.889874773029767,0.001,0.5,0.5,0,-7389.70005575105,-5866.67729837328,-1523.02275737777
3501,2.10318033247986,3.28117054276586,0,0.234992758137116,0,0.322246893546505,0,0.0720186930018571,0.0208461732867285,0,12,1.11735340048932,0.001,0,0,1.96207948681786,0,0.746913345932744,0,0.000961382672583938,0,0,0.0302764938634701,0,8,0.893922157035602,0.001,0.5,0.5,0,-7407.97539160897,-5904.92902607973,-1503.04636552925
4001,2.20362692850163,3.29577478255966,0,0.21847571982456,0,0.369994075059444,0,0.0716955314053637,0.0113371154524115,0,12,1.11735340048932,0.001,0,0,1.8971076181247,0,0.749751089061879,0,0.00520707258582979,0,0,0.0239546853386011,0,8,0.851493660451603,0.001,0.5,0.5,0,-7375.73012669136,-5857.79171851266,-1517.9384081787
4501,2.39308770726711,3.07358179910812,0,0.184123977124247,0,0.404307212782344,0,0.0769317330679701,0.00359161008009073,0,12,1.11592991316328,0.001,0,0,1.93830647271329,0,0.725945499352683,0,0.014072835946526,0,0,0.0197505475934253,0,8,0.908865727095757,0.001,0.5,0.5,0,-7342.81549250681,-5857.31888885784,-1485.49660364897
