Age (years),Weighted cases per 1000 persons per year (posterior median and 95% CrI),Unweighted cases per 1000 persons per year (posterior median and 95% CrI)
0,164 (120-212),168 (128-207)
1,180 (132-229),162 (128-200)
2,174 (125-229),191 (159-230)
3,199 (141-275),214 (177-259)
4,249 (171-326),261 (210-311)
5+,251 (212-289),241 (214-268)
