sample_time,biomarker_id,mean_titre1,lower,upper,strain
2001,2002,0,0,0,FY-2002
2001,2006,0,0,0,DH-2006
2001,2009,0,0,0,NO-2009
2001,2012,0,0,0,SY-2012
2002,2002,0.023644874847261764,0,0.05274506430195207,FY-2002
2002,2006,0.019340784491203022,0,0.04211287980340537,DH-2006
2002,2009,0.01933328298609323,0,0.04209412264964177,NO-2009
2002,2012,0.0191994115258583,0,0.04175938348364241,SY-2012
2003,2002,0.17629771488090645,0.11610177442260666,0.2280600951609302,FY-2002
2003,2006,0.09536215806569402,0.061832209992994776,0.12607359573033278,DH-2006
2003,2009,0.09543340980081108,0.06190661477853972,0.1263439071553743,NO-2009
2003,2012,0.09475091913853229,0.06120511381217396,0.1243656762748509,SY-2012
2004,2002,0.17314747138444592,0.12085948552941599,0.23364186705535575,FY-2002
2004,2006,0.09797827036804496,0.04018241739357465,0.1575413186913956,DH-2006
2004,2009,0.09798097108168305,0.04018241739357465,0.1575420880198453,NO-2009
2004,2012,0.0972316358672102,0.04007774957938188,0.15650702711890532,SY-2012
2005,2002,0.1088996831519475,0.06234958302571999,0.19200992042879755,FY-2002
2005,2006,0.036156548863648774,0,0.1227390581454033,DH-2006
2005,2009,0.036057400974008044,0,0.12222431363499056,NO-2009
2005,2012,0.03575091688084119,0,0.11977252257234296,SY-2012
2006,2002,0.26291896401742415,0.18489504586578842,0.33550670886082434,FY-2002
2006,2006,0.19980009344785454,0.13413146373145915,0.2786129173464114,DH-2006
2006,2009,0.19662056714180262,0.13089616681018457,0.27482239052746255,NO-2009
2006,2012,0.1947256334382016,0.12842898473587963,0.27208441705229147,SY-2012
2007,2002,0.12694718964258475,0.08805181848332964,0.17406713431846035,FY-2002
2007,2006,0.0937800621081475,0.04084170982701429,0.15279353616341051,DH-2006
2007,2009,0.05691665395942087,0.023946134262485454,0.10098963116730576,NO-2009
2007,2012,0.05642612465337152,0.023799703057518384,0.09990430472850943,SY-2012
2008,2002,0.5084433334690887,0.4465217267153109,0.5808673714206846,FY-2002
2008,2006,0.50057939832349,0.43241059325354436,0.584630650138605,DH-2006
2008,2009,0.46618385157863856,0.3950486258143209,0.550583862509522,NO-2009
2008,2012,0.46200473008945653,0.3926998298924025,0.5482649270610503,SY-2012
2009,2002,0.3865835671854456,0.3154701238141858,0.47092988516737067,FY-2002
2009,2006,0.3685742730571073,0.2915147007331915,0.4602923841765518,DH-2006
2009,2009,0.3905936745004569,0.3046316167119604,0.48198330562444175,NO-2009
2009,2012,0.33458460221251063,0.262885859719217,0.4330113620969124,SY-2012
2010,2002,0.5019877497789732,0.43288488515708967,0.5977449022412362,FY-2002
2010,2006,0.48788565731912026,0.40564663999769074,0.6064609722511616,DH-2006
2010,2009,0.8283935727679628,0.7079581451582386,0.9714224085734803,NO-2009
2010,2012,0.4657026914074454,0.37705695814589496,0.5805947597005859,SY-2012
2011,2002,0.29519674994568046,0.23527446256092152,0.3782125518040577,FY-2002
2011,2006,0.2690163698354701,0.20574183125832124,0.3806040970982206,DH-2006
2011,2009,0.6647062761453241,0.5355105805953823,0.786158676557709,NO-2009
2011,2012,0.2720478401836645,0.2014244694962546,0.3778707973623196,SY-2012
2012,2002,0.194340773005316,0.15248000739716022,0.2423271399276435,FY-2002
2012,2006,0.1631316503447212,0.11645250969921304,0.21419203375743115,DH-2006
2012,2009,0.5749135123595106,0.4661505315890139,0.7015993127814912,NO-2009
2012,2012,0.19476803894980046,0.13202771871047772,0.27558705028036856,SY-2012
2001,2001,0,0,0,"Matched to 
circulating virus"
2002,2002,0.023644874847261764,0,0.05274506430195207,"Matched to 
circulating virus"
2003,2003,0.10043695509010762,0.06477208165316332,0.1363975474204814,"Matched to 
circulating virus"
2004,2004,0.10160628818534413,0.040682194717051846,0.16447730843948316,"Matched to 
circulating virus"
2005,2005,0.03665656645747394,0,0.1250805709585663,"Matched to 
circulating virus"
2006,2006,0.19980009344785454,0.13413146373145915,0.2786129173464114,"Matched to 
circulating virus"
2007,2007,0.05760476496219591,0.024157109623188178,0.10240301260443781,"Matched to 
circulating virus"
2008,2008,0.5450543550270277,0.4606998519198988,0.626506686621793,"Matched to 
circulating virus"
2009,2009,0.3905936745004569,0.3046316167119604,0.48198330562444175,"Matched to 
circulating virus"
2010,2010,0.5843136782037545,0.4806759573467661,0.6867828301317673,"Matched to 
circulating virus"
2011,2011,0.4318923957296837,0.3111832287910891,0.5323268681761983,"Matched to 
circulating virus"
2012,2012,0.19476803894980046,0.13202771871047772,0.27558705028036856,"Matched to 
circulating virus"
