sample_time,biomarker_id,mean_titre1,lower,upper,strain
2001,2002,0,0,0,FY-2002
2001,2006,0,0,0,DH-2006
2001,2009,0,0,0,NO-2009
2001,2012,0,0,0,SY-2012
2002,2002,0.021661049383460747,0,0.042596107159314486,FY-2002
2002,2006,0.016482720067584656,0,0.035026250259916084,DH-2006
2002,2009,0.016624455395607755,0,0.03506107099834834,NO-2009
2002,2012,0.016473782704421146,0,0.03502405457878802,SY-2012
2003,2002,0.11158124626087915,0.044251012171430265,0.17465836252735648,FY-2002
2003,2006,0.04764607403027847,0.014646302780437043,0.0872722991611034,DH-2006
2003,2009,0.04849423865231591,0.014728743277752424,0.08864802208345259,NO-2009
2003,2012,0.047862182416550283,0.014668797239319319,0.08764767465880166,SY-2012
2004,2002,0.2210070604066855,0.1477232526364813,0.28786359244915755,FY-2002
2004,2006,0.10755207088657871,0.046368983207967646,0.15999018912316207,DH-2006
2004,2009,0.10951624539986854,0.0491312818041599,0.1668036763249556,NO-2009
2004,2012,0.10764233623003826,0.0463726279784386,0.16050591644521098,SY-2012
2005,2002,0.1656974067078382,0.0916211792185509,0.24020596537969316,FY-2002
2005,2006,0.052936921075226795,0,0.1254074183013465,DH-2006
2005,2009,0.0542222081814979,0,0.1256922772459562,NO-2009
2005,2012,0.0527074936103357,0,0.1251120923867542,SY-2012
2006,2002,0.24199378175974293,0.1799691498031671,0.3085967481224194,FY-2002
2006,2006,0.12835736474929035,0.06365456869422645,0.20365979762242042,DH-2006
2006,2009,0.12910425578448378,0.07206254569494222,0.20334345684227093,NO-2009
2006,2012,0.1270802738488499,0.06263482821677083,0.20247464527792425,SY-2012
2007,2002,0.15445116990986488,0.09665864053544274,0.21876476758490898,FY-2002
2007,2006,0.09491197550196591,0.0507712940260147,0.16464045372739142,DH-2006
2007,2009,0.04385668408255554,0.020727935404762442,0.08435139991782468,NO-2009
2007,2012,0.043716862170215504,0.021778227249516658,0.082365070808315885,SY-2012
2008,2002,0.42950460654848327,0.3373656604946846,0.5029966586408863,FY-2002
2008,2006,0.5005616486078205,0.4148248672697062,0.5809129622580453,DH-2006
2008,2009,0.3517804739011688,0.2686606899723383,0.4273502772578809,NO-2009
2008,2012,0.34433246011513513,0.26086510570648463,0.4211028814705859,SY-2012
2009,2002,0.33668878167637606,0.2716387495258475,0.40585323590564487,FY-2002
2009,2006,0.4152374721423885,0.32582885334884293,0.52973829709926,DH-2006
2009,2009,0.39365230632724046,0.31073583156607654,0.5230909370460951,NO-2009
2009,2012,0.30786116460584845,0.2357827324929252,0.4349698940573972,SY-2012
2010,2002,0.440848303960503,0.34624214443350987,0.5289682732697015,FY-2002
2010,2006,0.5174817706389797,0.4209694145253585,0.6122885194598032,DH-2006
2010,2009,0.8973205290141326,0.7683694564765142,1.035417110639867,NO-2009
2010,2012,0.48805455345205573,0.35024378126014993,0.6869047248814324,SY-2012
2011,2002,0.28297278214225147,0.22410940092951884,0.34274129983415336,FY-2002
2011,2006,0.36144536017063017,0.26656596169491764,0.4817955297029915,DH-2006
2011,2009,0.8862164337564533,0.7238856370146797,1.1029563715275927,NO-2009
2011,2012,0.42335373704241486,0.22501686403467983,0.7158133926272312,SY-2012
2012,2002,0.18640497331073871,0.1353463569766678,0.24051607343650724,FY-2002
2012,2006,0.26559422963865864,0.15724116255141987,0.43856717108712945,DH-2006
2012,2009,0.8279061397389853,0.6568976864856932,1.0825144582127573,NO-2009
2012,2012,0.39047550412964754,0.1745483843653565,0.7344464370652112,SY-2012
2001,2001,0,0,0,"Matched to 
circulating virus"
2002,2002,0.021661049383460747,0,0.042596107159314486,"Matched to 
circulating virus"
2003,2003,0.07658210901826018,0.032534728293767724,0.11813534360719778,"Matched to 
circulating virus"
2004,2004,0.16087139156922353,0.07666383771384452,0.2283091855575611,"Matched to 
circulating virus"
2005,2005,0.052371129036865,0,0.12463786504227285,"Matched to 
circulating virus"
2006,2006,0.12835736474929035,0.06365456869422645,0.20365979762242042,"Matched to 
circulating virus"
2007,2007,0.0633163133954117,0.03067297668605023,0.125245409838676,"Matched to 
circulating virus"
2008,2008,0.521238526992884,0.4384671928767176,0.6051923732884217,"Matched to 
circulating virus"
2009,2009,0.39365230632724046,0.31073583156607654,0.5230909370460951,"Matched to 
circulating virus"
2010,2010,0.806066197041821,0.6687204513987886,0.962639466079306,"Matched to 
circulating virus"
2011,2011,0.6524149295369497,0.4522424636002312,0.9215032467635509,"Matched to 
circulating virus"
2012,2012,0.39047550412964754,0.1745483843653565,0.7344464370652112,"Matched to 
circulating virus"
