samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,0,2.05229924313683,0,0.421598132860943,0,0.434801449472714,0,0,0.0218801674156158,0,8,1.03941252855533,0.001,0.5,0.5,0,-6477.61245860454,-5312.30357587624,-1165.3088827283
6,0,2.05229924313683,0,0.431299960406123,0,0.434801449472714,0,0,0.0951604026191318,0,8,1.03941252855533,0.001,0.5,0.5,0,-6322.39250557355,-5157.18445052304,-1165.20805505051
11,0,2.05229924313683,0,0.431299960406123,0,0.434801449472714,0,0,0.0951604026191318,0,8,1.03941252855533,0.001,0.5,0.5,0,-6051.91291262462,-4844.02337947611,-1207.88953314852
16,0,2.05229924313683,0,0.431299960406123,0,0.434801449472714,0,0,0.0805810605387345,0,8,2.22223202307342,0.001,0.5,0.5,0,-5209.98961348079,-3944.84508915814,-1265.14452432265
21,0,2.05229924313683,0,0.431299960406123,0,0.434801449472714,0,0,0.0493177533587657,0,8,2.22223202307342,0.001,0.5,0.5,0,-5197.44820373246,-3927.13275900744,-1270.31544472502
26,0,2.05229924313683,0,0.431299960406123,0,0.434801449472714,0,0,0.0493177533587657,0,8,2.22223202307342,0.001,0.5,0.5,0,-5239.67176719174,-3908.15185555453,-1331.51991163721
31,0,2.05229924313683,0,0.431299960406123,0,0.434801449472714,0,0,0.0493177533587657,0,8,2.22223202307342,0.001,0.5,0.5,0,-5205.78233269805,-3888.63200551692,-1317.15032718113
36,0,1.93935163286169,0,0.411564978213402,0,0.34434483845805,0,0,0.0308913255332493,0,8,2.22223202307342,0.001,0.5,0.5,0,-5209.87743987492,-3891.93832569563,-1317.93911417929
41,0,2.05438306613631,0,0.409155034577532,0,0.34434483845805,0,0,0.0308913255332493,0,8,2.22223202307342,0.001,0.5,0.5,0,-5159.17554633771,-3847.97076388254,-1311.20478245517
46,0,2.05438306613631,0,0.409155034577532,0,0.34434483845805,0,0,0.0308913255332493,0,8,2.22223202307342,0.001,0.5,0.5,0,-5120.83478781793,-3843.78418918793,-1277.05059862999
51,0,2.0710646974811,0,0.42418131738196,0,0.319138216618623,0,0,0.0308913255332493,0,8,2.22223202307342,0.001,0.5,0.5,0,-5111.13088255518,-3819.55584896234,-1291.57503359285
56,0,2.10858162142918,0,0.45385349062307,0,0.319138216618623,0,0,0.0308913255332493,0,8,2.22223202307342,0.001,0.5,0.5,0,-5112.44072049978,-3793.86411804322,-1318.57660245656
61,0,2.10858162142918,0,0.45385349062307,0,0.319138216618623,0,0,0.0308913255332493,0,8,2.22223202307342,0.001,0.5,0.5,0,-5071.59733453285,-3789.93999430997,-1281.65734022287
66,0,2.36735512549287,0,0.45385349062307,0,0.319138216618623,0,0,0.0203435775734168,0,8,2.22223202307342,0.001,0.5,0.5,0,-5066.73361827462,-3773.35855241478,-1293.37506585983
71,0,2.36735512549287,0,0.440291533614658,0,0.319138216618623,0,0,0.0203435775734168,0,8,2.22223202307342,0.001,0.5,0.5,0,-5063.76566547344,-3757.76906706914,-1305.99659840431
76,0,2.36735512549287,0,0.440291533614658,0,0.319138216618623,0,0,0.0200870823832493,0,8,2.22223202307342,0.001,0.5,0.5,0,-5027.53700362669,-3762.71960311239,-1264.81740051431
81,0,2.36735512549287,0,0.430322138943478,0,0.319138216618623,0,0,0.0200870823832493,0,8,2.22223202307342,0.001,0.5,0.5,0,-4997.407144466,-3745.47841203815,-1251.92873242785
86,0,2.36735512549287,0,0.412329934622307,0,0.319138216618623,0,0,0.0200870823832493,0,8,2.22223202307342,0.001,0.5,0.5,0,-4952.77422598899,-3746.05919843434,-1206.71502755466
91,0,2.36735512549287,0,0.412329934622307,0,0.319138216618623,0,0,0.0324998828652258,0,8,1.25607775518768,0.001,0.5,0.5,0,-4726.99055266071,-3507.20349324196,-1219.78705941876
96,0,2.38098103442324,0,0.393042916514195,0,0.319138216618623,0,0,0.0324998828652258,0,8,1.25607775518768,0.001,0.5,0.5,0,-4670.3014331314,-3447.21545995323,-1223.08597317818
101,0,2.38098103442324,0,0.38334741202096,0,0.319138216618623,0,0,0.0324998828652258,0,8,1.25607775518768,0.001,0.5,0.5,0,-4582.17130299863,-3346.5171728956,-1235.65413010303
106,0,2.38098103442324,0,0.38334741202096,0,0.303216661552215,0,0,0.0324998828652258,0,8,1.25607775518768,0.001,0.5,0.5,0,-4490.43759857394,-3247.48445343819,-1242.95314513575
111,0,2.38098103442324,0,0.388641997319072,0,0.287338286886542,0,0,0.0324998828652258,0,8,1.25607775518768,0.001,0.5,0.5,0,-4481.04505446848,-3213.6384343927,-1267.40662007577
116,0,2.38098103442324,0,0.388641997319072,0,0.287338286886542,0,0,0.0324998828652258,0,8,1.09190403207113,0.001,0.5,0.5,0,-4369.83563570349,-3134.25446283513,-1235.58117286836
121,0,2.38098103442324,0,0.388641997319072,0,0.287338286886542,0,0,0.00779262267771774,0,8,1.09190403207113,0.001,0.5,0.5,0,-4313.14206032812,-3070.2718681254,-1242.87019220272
