age,med,lower,upper,N
0,0.16666666666666666,0.12280701754385964,0.23684210526315788,114
1,0.33737864077669905,0.2912621359223301,0.38349514563106796,206
2,0.4782608695652174,0.43873517786561267,0.5098814229249012,253
3,0.53515625,0.49609375,0.57421875,256
4,0.6192468619246861,0.5857740585774058,0.6527196652719666,239
5,0.6963350785340314,0.6700261780104713,0.7225130890052356,191
6,0.717741935483871,0.6854838709677419,0.7419354838709677,124
7,0.7058823529411765,0.7058823529411765,0.7352941176470589,34
