names,median,mean,lower95_CrI,upper95_CrI,ess,Rhat point estimate,Rhat upper CI
boost_long,2.99604302061608,3.0502528640476134,1.4262814213158448,4.389360337954288,10.598208615063376,2.518092460366206,5.222861447143032
boost_short,2.59622400542418,2.533167602910932,1.12418527903234,4.193319392884585,10.217333918265748,2.554678157591483,5.285120515072541
antigenic_seniority,0.0104937431916691,0.014101256316449295,3.6598079417431763e-4,0.04757537466134227,376.640638143854,1.0757259613511774,1.1774882716408444
wane_short,0.114913855364613,0.1222618396840006,0.06841751672724979,0.1992160081227418,22.368475214452232,2.062460730181026,3.490329097290316
cr_long,0.0209134266826013,0.022915039928670004,0.01230649706789734,0.045230698236602085,30.98392224228595,1.569418515647935,2.9213065642233236
cr_short,0.0706992861142288,0.10066649222022796,0.0023114320610171713,0.3617913197401471,2964.444962040877,1.0182978414420643,1.0447054054059473
obs_sd,1.12094689643555,1.1208831038795293,1.072446538950815,1.1726890812010837,4696.369230545027,1.0052158763983237,1.0157604128891204
boost_long.1,3.06137603166136,2.8565289856037803,0.5656988763470483,4.354093438302592,10.252682001764901,1.3281420547620177,1.893373487530453
boost_short.1,2.53829507825302,2.7260090998560615,1.183801920656728,5.005800619910688,10.275842959107909,1.350217042452229,1.9397109606541791
antigenic_seniority.1,0.0106189863505949,0.014134985137282487,4.030096985246715e-4,0.04628810682810752,438.41081630185346,1.0469415291721023,1.1118363395920454
wane_short.1,0.112690224971461,0.11572126765772289,0.05142652791124732,0.1955464450477511,24.75245554088386,1.256746339542105,1.7121509581395538
cr_long.1,0.0215615073010337,0.026703594250608195,0.01234987533280041,0.08595769395568784,19.29811746768893,1.1141931117893944,1.2790530886499785
cr_short.1,0.0657014657394111,0.09771460238173015,0.0023280314370173836,0.3642962147443137,2597.5645879192075,1.006203437900445,1.0148225615956685
obs_sd.1,1.11984508517802,1.1201805542035475,1.0709517077411799,1.1706882247104429,2262.839178037041,1.011577985455341,1.0324546669278587
total_infections,1567,1567.1296703296703,1540,1595,545.1194048748555,1.0287041368244128,1.0783040794100944
