samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,1.09217942300563,2.82424843275074,0,0.49171304266814,0,0.478276637331941,0,0.107435750064122,0.077109103493554,0,12,1.09351669111091,0.001,0.5,0.5,0,-14503.7363345308,-13599.6050846836,-904.131249847157
501,2.27321268320741,4.19865639515234,0,0.224902130775071,0,0.749798750658087,0,0.078472769940816,0.100861589673257,0,12,1.29170902647904,0.001,0.5,0.5,0,-4218.31500582561,-2658.20755415145,-1560.10745167415
1001,2.26245746412109,4.30590450489617,0,0.193423129439357,0,0.711008505241427,0,0.0887998578768155,0.112032673739082,0,12,1.17298288677829,0.001,0.5,0.5,0,-4161.32611301571,-2603.98985781391,-1557.3362552018
1501,2.29510381980371,4.31465780950357,0,0.164480674362737,0,0.630904262775576,0,0.109318089144808,0.148152090400838,0,12,1.16258997652184,0.001,0.5,0.5,0,-4139.96943186591,-2558.80887591841,-1581.1605559475
2001,2.39008698694829,3.86780138376698,0,0.154866606093071,0,0.733804400947718,0,0.121577572098033,0.0927697544885124,0,12,1.21857396430881,0.001,0.5,0.5,0,-4121.30803720735,-2567.94272796582,-1553.36530924153
2501,2.27339262590275,3.80803982782468,0,0.103062359492718,0,0.854935862948135,0,0.121452089795971,0.093721618004559,0,12,1.20434307385875,0.001,0.5,0.5,0,-4086.56835916076,-2557.43830254333,-1529.13005661743
3001,2.52439114488377,3.67543296386015,0,0.145501728731878,0,0.76818241925878,0,0.12775859835962,0.100500947429931,0,12,1.18320573909744,0.001,0.5,0.5,0,-4092.95940892106,-2520.63435803715,-1572.32505088392
3501,2.52297472392383,3.48522959376989,0,0.108437233319583,0,0.825602683532928,0,0.142822310321453,0.0597134988791842,0,12,1.15084864965631,0.001,0.5,0.5,0,-4113.68280733123,-2528.75202655347,-1584.93078077776
4001,2.21268653791496,3.69850972832107,0,0.0967638168228617,0,0.87763827191742,0,0.139163580089578,0.0571976780668579,0,12,1.14786187804249,0.001,0.5,0.5,0,-4046.64873489994,-2518.57442129221,-1528.07431360773
4501,2.31629466421646,3.50309846952191,0,0.0924936427255056,0,0.790864206222617,0,0.156589587360726,0.0400224268270206,0,12,1.13160224460062,0.001,0.5,0.5,0,-4043.40770604224,-2500.34462862105,-1543.06307742119
