age,mean1,med,lower,upper,N
0,0.16804725609756097,0.1676829268292683,0.12804878048780488,0.20735518292682922,656
1,0.30365243902439026,0.30335365853658536,0.2682545731707317,0.3399390243902439,656
2,0.4286073825503356,0.42869127516778527,0.39593120805369125,0.46140939597315433,596
3,0.5129450101832994,0.5112016293279023,0.4786150712830957,0.5498981670061099,491
4,0.6088868421052631,0.6078947368421053,0.5789473684210527,0.6368421052631579,380
5,0.6853245283018867,0.6867924528301886,0.6566037735849056,0.7094339622641509,265
6,0.7215793103448276,0.7241379310344828,0.696551724137931,0.7448275862068966,145
7,0.7098235294117647,0.7058823529411765,0.7058823529411765,0.7352941176470589,34
