samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,1.93964753426767,2.63896320595042,0,0.492200945661822,0,0.406914125624611,0,0.133033860887178,0.4,0,10,0.52852041039901,0,1,20,0,-49180.7414785732,-48257.5224137751,-923.219064798148
11,2.1708938298621,3.01868692801494,0,0.445887480383878,0,0.406914125624611,0,0.133033860887178,0.4,0,10,0.670170803180786,0,1,20,0,-25165.3383067071,-24137.375809272,-1027.96249743512
21,2.1708938298621,3.27824205539058,0,0.445887480383878,0,0.393504555790906,0,0.0834114271098694,0.4,0,10,0.670170803180786,0,1,20,0,-18785.9803064899,-17639.2520217725,-1146.72828471736
31,2.51818128511815,3.59107975097014,0,0.445887480383878,0,0.393504555790906,0,0.064405904988858,0.4,0,10,1.91513329601095,0,1,20,0,-5717.01826889698,-4452.92163212707,-1264.0966367699
41,2.75213716981107,3.57207614662867,0,0.460148499838749,0,0.363661628901404,0,0.0195140047368857,0.4,0,10,3.06269168214404,0,1,20,0,-5631.07044656703,-4326.51661764448,-1304.55382892255
51,2.75213716981107,3.57207614662867,0,0.438758300329029,0,0.272606945806706,0,0.0673639550366678,0.4,0,10,3.06269168214404,0,1,20,0,-5555.1387602081,-4257.26060371506,-1297.87815649305
61,2.75213716981107,3.9358785153047,0,0.482539511581003,0,0.272606945806706,0,0.0673639550366678,0.4,0,10,1.96514558553469,0,1,20,0,-5301.533567665,-4037.55794955873,-1263.97561810627
71,2.75213716981107,3.9358785153047,0,0.482539511581003,0,0.272606945806706,0,0.0670861816624938,0.4,0,10,1.96514558553469,0,1,20,0,-5189.13782034959,-3900.24080076852,-1288.89701958108
81,2.77812724668776,3.9358785153047,0,0.482539511581003,0,0.263134746819741,0,0.0670861816624938,0.4,0,10,1.96514558553469,0,1,20,0,-5131.26506598859,-3825.35833467748,-1305.9067313111
91,2.77812724668776,3.9358785153047,0,0.482539511581003,0,0.263134746819741,0,0.0559056865350303,0.4,0,10,1.96514558553469,0,1,20,0,-5058.47862657569,-3743.56773191751,-1314.91089465817
101,2.77812724668776,3.9358785153047,0,0.438347555761294,0,0.263134746819741,0,0.0559056865350303,0.4,0,10,1.44170951747233,0,1,20,0,-5054.36369503073,-3723.71992983815,-1330.64376519258
111,2.77812724668776,3.9358785153047,0,0.431773750509354,0,0.263134746819741,0,0.0559056865350303,0.4,0,10,1.44170951747233,0,1,20,0,-4959.0807664839,-3604.6210865636,-1354.4596799203
121,2.77812724668776,3.9358785153047,0,0.427160732785573,0,0.263134746819741,0,0.0631114929512121,0.4,0,10,1.44170951747233,0,1,20,0,-4874.4280102686,-3513.90558792001,-1360.52242234859
131,2.77812724668776,3.9358785153047,0,0.406207454155933,0,0.263134746819741,0,0.0631114929512121,0.4,0,10,1.44170951747233,0,1,20,0,-4848.41405525984,-3481.09516940985,-1367.31888584999
141,2.77812724668776,3.9358785153047,0,0.386978108294179,0,0.266506496661657,0,0.0589895357540398,0.4,0,10,1.44170951747233,0,1,20,0,-4825.09302056892,-3446.31589664807,-1378.77712392085
151,2.77812724668776,3.9358785153047,0,0.386978108294179,0,0.266506496661657,0,0.0589895357540398,0.4,0,10,1.44170951747233,0,1,20,0,-4804.87685360007,-3426.56941864934,-1378.30743495073
161,2.77812724668776,3.9358785153047,0,0.386978108294179,0,0.266506496661657,0,0.0589895357540398,0.4,0,10,1.44170951747233,0,1,20,0,-4821.53948072826,-3423.44619713349,-1398.09328359477
