"age_group","n","quantile(infs_per_life, 0.5)","quantile(infs_per_life, 0.025)","quantile(infs_per_life, 0.975)"
"[1,2)",92,0,0,1.7843788948899
"[2,3)",106,0.3690036900369,0,1
"[3,4)",113,0.333333333333333,0,0.666666666666667
"[4,5)",118,0.25,0,0.5
"[5,6)",118,0.2,0,0.415000000000001
"[6,9)",109,0.166666666666667,0,0.48437816068703
