samp_no,chain_no,names_new,est,names,values,biomarker_group,biomarker_group_label,run_name,map,name_key,label
200001,4,antigenic_seniority,0.238550587705553,antigenic_seniority,0.05,1,IC50,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
200001,4,wane_short,0.405189338121098,wane_short,0.25,1,IC50,both_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
200001,4,cr_long,0.0671158237137687,cr_long,0.1,1,IC50,both_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
200001,4,cr_short,0.00520339621535458,cr_short,0.03,1,IC50,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
200001,4,obs_sd,1.1295186610863,obs_sd,1,1,IC50,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
200001,4,boost_short.1,2.03786041528535,boost_short,2,2,Avidity,both_real,debbink,Transient boost,"Transient boost
(Avidity)"
200001,4,antigenic_seniority.1,0.862167570269589,antigenic_seniority,0.05,2,Avidity,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(Avidity)"
200001,4,wane_short.1,0.00173686095812229,wane_short,0.25,2,Avidity,both_real,debbink,Transient waning rate,"Transient waning rate
(Avidity)"
200001,4,cr_short.1,0.0290622408399791,cr_short,0.03,2,Avidity,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(Avidity)"
200001,4,obs_sd.1,0.907178864784602,obs_sd,1,2,Avidity,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(Avidity)"
200001,5,boost_long,2.75009937868724,boost_long,1.5,1,IC50,both_real,debbink,Long-term boost,"Long-term boost
(IC50)"
200001,5,boost_short,3.18735218535507,boost_short,2,1,IC50,both_real,debbink,Transient boost,"Transient boost
(IC50)"
200001,5,antigenic_seniority,0.295759845080325,antigenic_seniority,0.05,1,IC50,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
200001,5,wane_short,0.443890457672983,wane_short,0.25,1,IC50,both_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
200001,5,cr_long,0.0713136981899921,cr_long,0.1,1,IC50,both_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
200001,5,cr_short,0.00570280027134678,cr_short,0.03,1,IC50,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
200001,5,obs_sd,1.13695241407483,obs_sd,1,1,IC50,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
200001,5,boost_short.1,1.96706544910863,boost_short,2,2,Avidity,both_real,debbink,Transient boost,"Transient boost
(Avidity)"
200001,5,antigenic_seniority.1,0.781298139357357,antigenic_seniority,0.05,2,Avidity,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(Avidity)"
200001,5,wane_short.1,0.00659729958642492,wane_short,0.25,2,Avidity,both_real,debbink,Transient waning rate,"Transient waning rate
(Avidity)"
200001,5,cr_short.1,0.0314205718767683,cr_short,0.03,2,Avidity,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(Avidity)"
200001,5,obs_sd.1,0.935199432937306,obs_sd,1,2,Avidity,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(Avidity)"
202501,1,boost_long,2.93015842075523,boost_long,1.5,1,IC50,both_real,debbink,Long-term boost,"Long-term boost
(IC50)"
202501,1,boost_short,2.64775421361004,boost_short,2,1,IC50,both_real,debbink,Transient boost,"Transient boost
(IC50)"
202501,1,antigenic_seniority,0.206486958952733,antigenic_seniority,0.05,1,IC50,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
202501,1,wane_short,0.473158907777445,wane_short,0.25,1,IC50,both_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
202501,1,cr_long,0.0653355708990519,cr_long,0.1,1,IC50,both_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
202501,1,cr_short,0.0100436366771037,cr_short,0.03,1,IC50,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
202501,1,obs_sd,1.14278028581641,obs_sd,1,1,IC50,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
202501,1,boost_short.1,1.91033974428977,boost_short,2,2,Avidity,both_real,debbink,Transient boost,"Transient boost
(Avidity)"
202501,1,antigenic_seniority.1,0.835721296732069,antigenic_seniority,0.05,2,Avidity,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(Avidity)"
202501,1,wane_short.1,4.6669775770869e-5,wane_short,0.25,2,Avidity,both_real,debbink,Transient waning rate,"Transient waning rate
(Avidity)"
202501,1,cr_short.1,0.0103927231850066,cr_short,0.03,2,Avidity,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(Avidity)"
202501,1,obs_sd.1,0.900217454651054,obs_sd,1,2,Avidity,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(Avidity)"
202501,2,boost_long,2.70229322815723,boost_long,1.5,1,IC50,both_real,debbink,Long-term boost,"Long-term boost
(IC50)"
202501,2,boost_short,2.88356679178046,boost_short,2,1,IC50,both_real,debbink,Transient boost,"Transient boost
(IC50)"
202501,2,antigenic_seniority,0.215066947564088,antigenic_seniority,0.05,1,IC50,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
202501,2,wane_short,0.464022605048829,wane_short,0.25,1,IC50,both_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
202501,2,cr_long,0.0708358272569375,cr_long,0.1,1,IC50,both_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
202501,2,cr_short,0.0138502679336687,cr_short,0.03,1,IC50,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
202501,2,obs_sd,1.14027150184379,obs_sd,1,1,IC50,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
202501,2,boost_short.1,1.94534426189172,boost_short,2,2,Avidity,both_real,debbink,Transient boost,"Transient boost
(Avidity)"
202501,2,antigenic_seniority.1,0.759239453106757,antigenic_seniority,0.05,2,Avidity,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(Avidity)"
202501,2,wane_short.1,0.00510842732098243,wane_short,0.25,2,Avidity,both_real,debbink,Transient waning rate,"Transient waning rate
(Avidity)"
202501,2,cr_short.1,0.0198666139398943,cr_short,0.03,2,Avidity,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(Avidity)"
202501,2,obs_sd.1,0.905247263484152,obs_sd,1,2,Avidity,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(Avidity)"
202501,3,boost_long,2.86032513966046,boost_long,1.5,1,IC50,both_real,debbink,Long-term boost,"Long-term boost
(IC50)"
202501,3,boost_short,2.84690888933095,boost_short,2,1,IC50,both_real,debbink,Transient boost,"Transient boost
(IC50)"
202501,3,antigenic_seniority,0.220931691681361,antigenic_seniority,0.05,1,IC50,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
202501,3,wane_short,0.464651505526767,wane_short,0.25,1,IC50,both_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
202501,3,cr_long,0.0759463318229733,cr_long,0.1,1,IC50,both_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
202501,3,cr_short,9.16287671940116e-4,cr_short,0.03,1,IC50,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
202501,3,obs_sd,1.10678684636066,obs_sd,1,1,IC50,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
202501,3,boost_short.1,1.98623707870449,boost_short,2,2,Avidity,both_real,debbink,Transient boost,"Transient boost
(Avidity)"
202501,3,antigenic_seniority.1,0.805367565951094,antigenic_seniority,0.05,2,Avidity,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(Avidity)"
202501,3,wane_short.1,0.00381725050375041,wane_short,0.25,2,Avidity,both_real,debbink,Transient waning rate,"Transient waning rate
(Avidity)"
202501,3,cr_short.1,0.0280978886546047,cr_short,0.03,2,Avidity,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(Avidity)"
202501,3,obs_sd.1,0.890997576560687,obs_sd,1,2,Avidity,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(Avidity)"
202501,4,boost_long,2.82164463043326,boost_long,1.5,1,IC50,both_real,debbink,Long-term boost,"Long-term boost
(IC50)"
202501,4,boost_short,2.77345292426437,boost_short,2,1,IC50,both_real,debbink,Transient boost,"Transient boost
(IC50)"
202501,4,antigenic_seniority,0.223225220995986,antigenic_seniority,0.05,1,IC50,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
202501,4,wane_short,0.470663221807012,wane_short,0.25,1,IC50,both_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
202501,4,cr_long,0.0755504464197016,cr_long,0.1,1,IC50,both_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
202501,4,cr_short,0.00499213570045767,cr_short,0.03,1,IC50,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
202501,4,obs_sd,1.13504586004035,obs_sd,1,1,IC50,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
202501,4,boost_short.1,1.94987065960892,boost_short,2,2,Avidity,both_real,debbink,Transient boost,"Transient boost
(Avidity)"
202501,4,antigenic_seniority.1,0.794657457791593,antigenic_seniority,0.05,2,Avidity,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(Avidity)"
202501,4,wane_short.1,4.16354051478795e-4,wane_short,0.25,2,Avidity,both_real,debbink,Transient waning rate,"Transient waning rate
(Avidity)"
202501,4,cr_short.1,0.0245194766911797,cr_short,0.03,2,Avidity,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(Avidity)"
202501,4,obs_sd.1,0.905837548484767,obs_sd,1,2,Avidity,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(Avidity)"
202501,5,boost_long,2.83148268679021,boost_long,1.5,1,IC50,both_real,debbink,Long-term boost,"Long-term boost
(IC50)"
202501,5,boost_short,3.04574419607538,boost_short,2,1,IC50,both_real,debbink,Transient boost,"Transient boost
(IC50)"
202501,5,antigenic_seniority,0.24040626346177,antigenic_seniority,0.05,1,IC50,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
202501,5,wane_short,0.507491490129509,wane_short,0.25,1,IC50,both_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
202501,5,cr_long,0.0758222492961308,cr_long,0.1,1,IC50,both_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
202501,5,cr_short,0.00190083998242863,cr_short,0.03,1,IC50,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
202501,5,obs_sd,1.11203153971361,obs_sd,1,1,IC50,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
202501,5,boost_short.1,1.9591183079638,boost_short,2,2,Avidity,both_real,debbink,Transient boost,"Transient boost
(Avidity)"
202501,5,antigenic_seniority.1,0.841076511799776,antigenic_seniority,0.05,2,Avidity,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(Avidity)"
202501,5,wane_short.1,0.00502232015939478,wane_short,0.25,2,Avidity,both_real,debbink,Transient waning rate,"Transient waning rate
(Avidity)"
202501,5,cr_short.1,0.0169310467408986,cr_short,0.03,2,Avidity,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(Avidity)"
202501,5,obs_sd.1,0.856399634527088,obs_sd,1,2,Avidity,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(Avidity)"
205001,1,boost_long,2.85525225843542,boost_long,1.5,1,IC50,both_real,debbink,Long-term boost,"Long-term boost
(IC50)"
205001,1,boost_short,2.75207941090443,boost_short,2,1,IC50,both_real,debbink,Transient boost,"Transient boost
(IC50)"
205001,1,antigenic_seniority,0.245058681048194,antigenic_seniority,0.05,1,IC50,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
205001,1,wane_short,0.470580375936357,wane_short,0.25,1,IC50,both_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
205001,1,cr_long,0.0686190833954164,cr_long,0.1,1,IC50,both_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
205001,1,cr_short,0.00115949529107805,cr_short,0.03,1,IC50,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
205001,1,obs_sd,1.09645887859482,obs_sd,1,1,IC50,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
205001,1,boost_short.1,1.95031624292589,boost_short,2,2,Avidity,both_real,debbink,Transient boost,"Transient boost
(Avidity)"
205001,1,antigenic_seniority.1,0.793325837063681,antigenic_seniority,0.05,2,Avidity,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(Avidity)"
205001,1,wane_short.1,0.0120088872416476,wane_short,0.25,2,Avidity,both_real,debbink,Transient waning rate,"Transient waning rate
(Avidity)"
205001,1,cr_short.1,0.0156424567462334,cr_short,0.03,2,Avidity,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(Avidity)"
205001,1,obs_sd.1,0.896908323885893,obs_sd,1,2,Avidity,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(Avidity)"
205001,2,boost_long,2.8094973728157,boost_long,1.5,1,IC50,both_real,debbink,Long-term boost,"Long-term boost
(IC50)"
205001,2,boost_short,2.977402410686,boost_short,2,1,IC50,both_real,debbink,Transient boost,"Transient boost
(IC50)"
205001,2,antigenic_seniority,0.245503855349138,antigenic_seniority,0.05,1,IC50,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
205001,2,wane_short,0.431555437137159,wane_short,0.25,1,IC50,both_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
205001,2,cr_long,0.0668148769263264,cr_long,0.1,1,IC50,both_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
205001,2,cr_short,0.00866439650941498,cr_short,0.03,1,IC50,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
205001,2,obs_sd,1.10686930732607,obs_sd,1,1,IC50,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
205001,2,boost_short.1,1.89511456158496,boost_short,2,2,Avidity,both_real,debbink,Transient boost,"Transient boost
(Avidity)"
205001,2,antigenic_seniority.1,0.771236055068987,antigenic_seniority,0.05,2,Avidity,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(Avidity)"
205001,2,wane_short.1,0.00277739982365105,wane_short,0.25,2,Avidity,both_real,debbink,Transient waning rate,"Transient waning rate
(Avidity)"
205001,2,cr_short.1,0.0160270543807892,cr_short,0.03,2,Avidity,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(Avidity)"
205001,2,obs_sd.1,0.917779301392861,obs_sd,1,2,Avidity,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(Avidity)"
205001,3,boost_long,2.85880304192556,boost_long,1.5,1,IC50,both_real,debbink,Long-term boost,"Long-term boost
(IC50)"
205001,3,boost_short,2.70866202831067,boost_short,2,1,IC50,both_real,debbink,Transient boost,"Transient boost
(IC50)"
205001,3,antigenic_seniority,0.218977112585654,antigenic_seniority,0.05,1,IC50,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
205001,3,wane_short,0.502715935581299,wane_short,0.25,1,IC50,both_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
205001,3,cr_long,0.0698855521158053,cr_long,0.1,1,IC50,both_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
205001,3,cr_short,0.00292749489093463,cr_short,0.03,1,IC50,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
205001,3,obs_sd,1.14278217886588,obs_sd,1,1,IC50,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
205001,3,boost_short.1,1.9203719928165,boost_short,2,2,Avidity,both_real,debbink,Transient boost,"Transient boost
(Avidity)"
205001,3,antigenic_seniority.1,0.789312802070113,antigenic_seniority,0.05,2,Avidity,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(Avidity)"
205001,3,wane_short.1,0.00159210700472426,wane_short,0.25,2,Avidity,both_real,debbink,Transient waning rate,"Transient waning rate
(Avidity)"
205001,3,cr_short.1,0.0189491765666582,cr_short,0.03,2,Avidity,both_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(Avidity)"
205001,3,obs_sd.1,0.908878623105954,obs_sd,1,2,Avidity,both_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(Avidity)"
205001,4,boost_long,2.84149821520761,boost_long,1.5,1,IC50,both_real,debbink,Long-term boost,"Long-term boost
(IC50)"
205001,4,boost_short,2.85312456080567,boost_short,2,1,IC50,both_real,debbink,Transient boost,"Transient boost
(IC50)"
205001,4,antigenic_seniority,0.230420441099271,antigenic_seniority,0.05,1,IC50,both_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
