x_coord,y_coord,inf_times
4.809216465,0.003891512,1987
3.741585615,0.333781358,1997
2.795809007,-1.520646808,2002
-3.360617539,0.610631015,2006
-3.63818383,-1.709681911,2009
-4.115268801,-2.14372726,2012
