samp_no,chain_no,age,prop,N
410001,5,8,0,235
410001,5,9,0,141
410001,5,10,0,74
410001,5,11,0,21
415001,1,0,0.20175438596491227,114
415001,1,1,0.23786407766990292,206
415001,1,2,0.1967741935483871,310
415001,1,3,0.16666666666666666,408
415001,1,4,0.145610278372591,467
415001,1,5,0.08333333333333333,468
415001,1,6,0.05827505827505827,429
415001,1,7,0.03498542274052478,343
415001,1,8,0,235
415001,1,9,0,141
415001,1,10,0,74
415001,1,11,0,21
415001,2,0,0.18421052631578946,114
415001,2,1,0.23300970873786409,206
415001,2,2,0.20967741935483872,310
415001,2,3,0.1642156862745098,408
415001,2,4,0.139186295503212,467
415001,2,5,0.11324786324786325,468
415001,2,6,0.06060606060606061,429
415001,2,7,0.03206997084548105,343
415001,2,8,0,235
415001,2,9,0,141
415001,2,10,0,74
415001,2,11,0,21
415001,3,0,0.21052631578947367,114
415001,3,1,0.22815533980582525,206
415001,3,2,0.20967741935483872,310
415001,3,3,0.15931372549019607,408
415001,3,4,0.1349036402569593,467
415001,3,5,0.12393162393162394,468
415001,3,6,0.05827505827505827,429
415001,3,7,0.023323615160349854,343
415001,3,8,0,235
415001,3,9,0,141
415001,3,10,0,74
415001,3,11,0,21
415001,4,0,0.16666666666666666,114
415001,4,1,0.22815533980582525,206
415001,4,2,0.2,310
415001,4,3,0.15441176470588236,408
415001,4,4,0.14775160599571735,467
415001,4,5,0.0876068376068376,468
415001,4,6,0.07459207459207459,429
415001,4,7,0.03498542274052478,343
415001,4,8,0,235
415001,4,9,0,141
415001,4,10,0,74
415001,4,11,0,21
415001,5,0,0.15789473684210525,114
415001,5,1,0.25728155339805825,206
415001,5,2,0.18064516129032257,310
415001,5,3,0.15441176470588236,408
415001,5,4,0.13704496788008566,467
415001,5,5,0.10042735042735043,468
415001,5,6,0.055944055944055944,429
415001,5,7,0.029154518950437316,343
415001,5,8,0,235
415001,5,9,0,141
415001,5,10,0,74
415001,5,11,0,21
420001,1,0,0.16666666666666666,114
420001,1,1,0.2669902912621359,206
420001,1,2,0.22580645161290322,310
420001,1,3,0.1715686274509804,408
420001,1,4,0.13704496788008566,467
420001,1,5,0.0811965811965812,468
420001,1,6,0.08391608391608392,429
420001,1,7,0.03206997084548105,343
420001,1,8,0,235
420001,1,9,0,141
420001,1,10,0,74
420001,1,11,0,21
420001,2,0,0.21052631578947367,114
420001,2,1,0.2524271844660194,206
420001,2,2,0.19032258064516128,310
420001,2,3,0.18137254901960784,408
420001,2,4,0.12419700214132762,467
420001,2,5,0.11538461538461539,468
420001,2,6,0.0675990675990676,429
420001,2,7,0.03498542274052478,343
420001,2,8,0,235
420001,2,9,0,141
420001,2,10,0,74
420001,2,11,0,21
420001,3,0,0.20175438596491227,114
420001,3,1,0.22815533980582525,206
420001,3,2,0.22258064516129034,310
420001,3,3,0.1642156862745098,408
420001,3,4,0.14775160599571735,467
420001,3,5,0.10897435897435898,468
420001,3,6,0.055944055944055944,429
420001,3,7,0.03498542274052478,343
420001,3,8,0,235
420001,3,9,0,141
420001,3,10,0,74
420001,3,11,0,21
420001,4,0,0.19298245614035087,114
420001,4,1,0.23300970873786409,206
420001,4,2,0.22580645161290322,310
420001,4,3,0.13725490196078433,408
420001,4,4,0.1284796573875803,467
420001,4,5,0.11538461538461539,468
420001,4,6,0.0675990675990676,429
420001,4,7,0.029154518950437316,343
420001,4,8,0,235
420001,4,9,0,141
420001,4,10,0,74
420001,4,11,0,21
420001,5,0,0.23684210526315788,114
420001,5,1,0.25728155339805825,206
420001,5,2,0.2,310
420001,5,3,0.1323529411764706,408
420001,5,4,0.139186295503212,467
420001,5,5,0.10897435897435898,468
420001,5,6,0.0675990675990676,429
420001,5,7,0.029154518950437316,343
420001,5,8,0,235
420001,5,9,0,141
420001,5,10,0,74
420001,5,11,0,21
425001,1,0,0.19298245614035087,114
425001,1,1,0.22815533980582525,206
425001,1,2,0.18064516129032257,310
425001,1,3,0.15931372549019607,408
425001,1,4,0.15631691648822268,467
425001,1,5,0.09829059829059829,468
425001,1,6,0.06293706293706294,429
425001,1,7,0.037900874635568516,343
425001,1,8,0,235
425001,1,9,0,141
425001,1,10,0,74
425001,1,11,0,21
425001,2,0,0.17543859649122806,114
425001,2,1,0.24757281553398058,206
425001,2,2,0.20967741935483872,310
425001,2,3,0.16176470588235295,408
425001,2,4,0.14346895074946467,467
425001,2,5,0.1047008547008547,468
425001,2,6,0.0675990675990676,429
