samp_no,biomarker_group,name,value,name_key,biomarker_group_label,label,min_value,max_value
409706,1,boost_long,1.295754297824552,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
478752,1,boost_long,1.9663913744583743,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
962668,1,boost_long,1.655923489486503,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
67224,1,boost_long,1.9516194634062094,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
920782,1,boost_long,2.402466771866529,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
390248,1,boost_long,2.2488396039439533,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
288489,1,boost_long,1.4608800875369903,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
336030,1,boost_long,1.9010065070572353,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
351695,1,boost_long,1.6610657878513588,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
755098,1,boost_long,1.3004708577237754,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
601048,1,boost_long,1.8594990376371705,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
63314,1,boost_long,1.0494350496345544,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
95921,1,boost_long,1.2713515752900653,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
241800,1,boost_long,2.2962410697572793,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
794504,1,boost_long,1.6746551380694028,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
243533,1,boost_long,1.7619385855293397,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
503564,1,boost_long,1.8659281085748234,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
611332,1,boost_long,1.5606976209284529,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
505550,1,boost_long,2.1402413970794236,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
230638,1,boost_long,2.3437509317555434,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
535281,1,boost_long,1.6604702221810566,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
40642,1,boost_long,1.9346435410369698,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
738379,1,boost_long,1.3408747696374865,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
979843,1,boost_long,1.33343540677683,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
375903,1,boost_long,2.3619378196294916,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
456995,1,boost_long,2.191277645372939,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
77127,1,boost_long,1.239186822827524,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
755390,1,boost_long,1.3600207191880136,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
399773,1,boost_long,1.818914465205811,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
1717,1,boost_long,1.3036125784301897,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
323705,1,boost_long,1.6833579426001242,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
943548,1,boost_long,1.9745514351304567,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
721484,1,boost_long,1.2885315087199931,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
637164,1,boost_long,1.2330413148157358,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
736075,1,boost_long,2.141801822551308,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
181748,1,boost_long,1.1547903981904546,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
494976,1,boost_long,1.4686642715123932,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
205416,1,boost_long,1.6299025031766832,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
491393,1,boost_long,2.361413036801449,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
708268,1,boost_long,2.2513990892645173,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
159829,1,boost_long,1.6695194074974768,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
277814,1,boost_long,1.8016420249116556,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
161311,1,boost_long,2.0894464099433803,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
876907,1,boost_long,1.8992979987603889,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
285954,1,boost_long,1.2445921163331357,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
197745,1,boost_long,1.8979172441480643,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
219851,1,boost_long,1.090392866526137,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
93689,1,boost_long,2.368730700972104,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
205260,1,boost_long,1.7088042555719174,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
744324,1,boost_long,1.6193490599878757,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
272838,1,boost_long,1.6175402604787723,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
637334,1,boost_long,1.3653665712504637,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
411395,1,boost_long,2.4027253119050482,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
927923,1,boost_long,1.3923825425374978,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
664244,1,boost_long,1.7246906152365882,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
110928,1,boost_long,1.064768465064568,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
456419,1,boost_long,1.564134446465904,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
930047,1,boost_long,2.307594865340803,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
21565,1,boost_long,2.214999622962211,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
224145,1,boost_long,1.3082493280838807,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
221074,1,boost_long,2.137509214007723,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
97023,1,boost_long,1.6461308666657575,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
157286,1,boost_long,1.5203589339499592,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
310625,1,boost_long,1.557118097720959,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
954755,1,boost_long,2.377778015777243,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
910288,1,boost_long,1.714890940510725,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
273466,1,boost_long,1.282723779969031,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
760946,1,boost_long,1.8046243558239603,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
434890,1,boost_long,1.574140490970628,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
886734,1,boost_long,1.6857522157540372,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
867425,1,boost_long,1.8631760971406455,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
123360,1,boost_long,2.1272068127908748,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
769338,1,boost_long,1.496573171257419,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
31831,1,boost_long,1.8524606869997473,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
356362,1,boost_long,1.9967462037695953,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
105755,1,boost_long,1.2586473682155581,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
760583,1,boost_long,1.7463523883761787,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
658185,1,boost_long,1.3580522064826854,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
597068,1,boost_long,1.0192421112459296,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
462253,1,boost_long,2.0611536247681905,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
985111,1,boost_long,1.6670783908573437,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
692071,1,boost_long,1.4438808318525327,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
39509,1,boost_long,2.139099758325723,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
2716,1,boost_long,1.1846394121005812,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
356438,1,boost_long,1.910710439143384,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
155873,1,boost_long,2.0741799835141363,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
55015,1,boost_long,1.7488564953685537,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
366904,1,boost_long,1.890114386612307,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
412346,1,boost_long,1.178318296856905,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
944223,1,boost_long,1.7935112742388788,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
930573,1,boost_long,1.6439776244292832,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
980118,1,boost_long,1.5002906723599463,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
367899,1,boost_long,1.92130395508136,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
140979,1,boost_long,1.3449966941103824,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
882530,1,boost_long,1.1761671972316026,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
763415,1,boost_long,1.5802643415656938,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
838301,1,boost_long,1.6421517899171876,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
520027,1,boost_long,1.3998369742503567,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
936853,1,boost_long,1.0140037834221285,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
331768,1,boost_long,1.2730693851043322,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
761298,1,boost_long,2.3397716436663467,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
701748,1,boost_long,1.925419704755336,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
548303,1,boost_long,1.8412523445566233,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
360994,1,boost_long,1.3418567701353965,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
864850,1,boost_long,1.5798517727686723,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
794873,1,boost_long,2.3122206120344293,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
711424,1,boost_long,2.1565872777236303,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
59045,1,boost_long,1.7740060332025347,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
225171,1,boost_long,1.5589054513920964,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
255416,1,boost_long,1.687513947085384,Long-term boost,IC50,"Long-term boost
(IC50)",1.11349782485552,2.18863929294668
